run,params,params_non_emb,train_tokens,T_train,T_eval,val_loss,val_ppl,val_bpb,fwd_gflops_per_token,train_pflops,minutes,best_T,best_loss
A_ref_unshared16_full,46156801,41962497,99991552,1,1,3.5938,36.373,1.3784,0.101,30.2,69.8,,
Z_drope_rel_T32_lr2e3_full,9440513,5246209,99991552,32,32,3.7219,41.344,1.4275,0.377,113.24,144.8,32,3.7216
Z_drope_rel_T32_full,9440513,5246209,99991552,32,32,3.7329,41.799,1.4317,0.377,113.24,232.3,32,3.7326
Z2_dropeF1_rel_T32_full,9440513,5246209,99991552,32,32,3.7335,41.826,1.4319,0.377,113.24,236.5,32,3.733
Z_drope_rel_T32_lr2e3,9440513,5246209,24985600,32,32,4.0573,57.816,1.5561,0.377,28.3,96.1,,
Z2_dropeF1_rel_T32,9440513,5246209,24985600,32,32,4.0727,58.717,1.562,0.377,28.3,65.4,32,4.0728
Z2_drope_adapter_T32,9965312,5771008,24985600,32,32,4.076,58.91,1.5633,0.411,30.81,92.9,32,4.0764
A_ref_unshared16,46156801,41962497,24985600,1,1,4.0784,59.049,1.5642,0.101,7.55,6.6,1,4.081
Z_drope_rel_T32,9440513,5246209,24985600,32,32,4.0807,59.189,1.5651,0.377,28.3,248.6,32,4.0814
G_inject_adapter,9965312,5771008,24985600,16,16,4.0939,59.971,1.5701,0.21,15.72,103.0,16,4.0947
Z_drope_rel_T32_s2,9440513,5246209,24985600,32,32,4.0964,60.121,1.5711,0.377,28.3,60.4,,
Y_rotate_T32,9440513,5246209,24985600,32,32,4.0998,60.328,1.5724,0.377,28.3,210.4,32,4.1001
Z_drope_rel_T32_s3,9440513,5246209,24985600,32,32,4.1024,60.483,1.5734,0.377,28.3,93.3,,
Y_rotate_T16,9440513,5246209,24985600,16,16,4.1079,60.819,1.5755,0.193,14.46,105.5,16,4.1083
P_drope_f1.0_T32,9440513,5246209,24985600,32,32,4.1094,60.909,1.5761,0.377,28.3,204.2,32,4.1103
Z3_all_T32,9440513,5246209,24985600,32,32,4.1131,61.133,1.5775,0.377,28.3,102.1,,
Z3_rot_rel_T32,9440513,5246209,24985600,32,32,4.1134,61.153,1.5776,0.377,28.3,40.1,,
Z3_all_T48,9440513,5246209,24985600,48,48,4.1148,61.242,1.5782,0.562,42.13,112.5,,
Z_drope_rel_T16,9440513,5246209,24985600,16,16,4.118,61.435,1.5794,0.193,14.46,112.8,16,4.1192
A_ref_unshared8,25176065,20981761,24985600,1,1,4.1255,61.897,1.5823,0.055,4.09,3.5,1,4.1284
P_drope_f0.75_T16,9440513,5246209,24985600,16,16,4.128,62.057,1.5832,0.193,14.46,130.7,16,4.1293
P_drope_f0.5_T32,9440513,5246209,24985600,32,32,4.1339,62.42,1.5855,0.377,28.3,200.3,32,4.1358
C_depth_rope_half,9440513,5246209,24985600,16,16,4.1405,62.835,1.588,0.193,14.46,6.2,16,4.1427
X_exit_drope_T32,9440513,5246209,24985600,32,32,4.1579,63.937,1.5947,0.377,28.3,209.4,32,4.1599
Z_drope_rel_T32_lr1e3,9440513,5246209,24985600,32,32,4.1587,63.991,1.595,0.377,28.3,96.3,,
C_depth_rope,9440513,5246209,24985600,16,16,4.1612,64.15,1.596,0.193,14.46,6.1,16,4.1636
P_drope_chains,9442561,5248257,24985600,8,8,4.1696,64.692,1.5992,0.377,28.3,182.1,8,4.1722
P_drope_f0.5_T8,9440513,5246209,24985600,8,8,4.1791,65.304,1.6028,0.101,7.55,62.5,8,4.1819
P_drope_f0.25_T32,9440513,5246209,24985600,32,32,4.1842,65.642,1.6048,0.377,28.3,165.3,32,4.1872
D_normalized,9440577,5246273,24985600,16,16,4.189,65.959,1.6066,0.193,14.46,107.0,16,4.1918
Q_relative_T16,9440513,5246209,24985600,16,16,4.1928,66.205,1.6081,0.193,14.46,92.7,16,4.195
F_depth_attn_wide,9703169,5508865,24985600,16,16,4.1983,66.571,1.6102,0.201,15.1,123.8,16,4.2015
A_depth8,9440513,5246209,24985600,8,8,4.2028,66.875,1.6119,0.101,7.55,3.2,8,4.2064
D_sphere,9440577,5246273,24985600,16,16,4.2037,66.932,1.6123,0.193,14.46,98.2,16,4.2064
H_d384_L4,9441537,6295809,24985600,8,8,4.2046,66.994,1.6126,0.12,8.96,74.5,8,4.2072
F_depth_attn,9572097,5377793,24985600,16,16,4.2066,67.125,1.6134,0.197,14.78,107.2,16,4.2101
B_lr0.002_T8,9440513,5246209,24985600,8,8,4.2124,67.521,1.6156,0.101,7.55,3.2,8,4.2155
C_sinusoid,9440513,5246209,24985600,16,16,4.2145,67.662,1.6164,0.193,14.46,68.4,16,4.2189
C_window_l2g,9440513,5246209,24985600,16,16,4.222,68.167,1.6193,0.193,14.46,82.5,16,4.2262
D_norm_momentum,9440579,5246275,24985600,16,16,4.223,68.236,1.6196,0.193,14.46,97.9,16,4.2264
A_depth8_s2,9440513,5246209,24985600,8,8,4.2237,68.286,1.6199,0.101,7.55,16.1,,
E_pool_learned,9440578,5246274,24985600,16,16,4.2254,68.401,1.6206,0.193,14.46,90.0,16,4.2291
D_momentum_read,9440515,5246211,24985600,16,16,4.2313,68.805,1.6228,0.193,14.46,72.0,16,4.2347
C_window_g2l,9440513,5246209,24985600,16,16,4.2319,68.85,1.6231,0.193,14.46,83.2,16,4.2363
H_d640_L1,9423489,4180609,24985600,32,32,4.2325,68.89,1.6233,0.299,22.4,131.9,32,4.2358
J_noise_const,9440513,5246209,24985600,16,16,4.233,68.923,1.6235,0.193,14.46,97.3,16,4.2373
D_momentum,9440514,5246210,24985600,16,16,4.2331,68.932,1.6235,0.193,14.46,69.8,16,4.2369
A_depth8_s3,9440513,5246209,24985600,8,8,4.2333,68.943,1.6236,0.101,7.55,16.7,,
A_depth16,9440513,5246209,24985600,16,16,4.2346,69.031,1.6241,0.193,14.46,5.6,16,4.2388
D_gated,9440577,5246273,24985600,16,16,4.2413,69.498,1.6267,0.193,14.46,79.8,16,4.2448
J_loop_dropout,9440513,5246209,24985600,16,16,4.2429,69.609,1.6273,0.193,14.46,95.8,16,4.2475
E_pool_gate,9441537,5247233,24985600,16,16,4.2464,69.855,1.6286,0.193,14.46,96.0,16,4.2505
X_exit_T32,9440513,5246209,24985600,32,32,4.2479,69.959,1.6292,0.377,28.3,188.7,32,4.2512
J_decorr,9440513,5246209,24985600,16,16,4.2513,70.195,1.6305,0.193,14.46,103.1,16,4.2566
J_noise_decay,9440513,5246209,24985600,16,16,4.2513,70.194,1.6305,0.193,14.46,112.1,16,4.2565
H_prelude,9440513,5246209,24985600,16,16,4.2555,70.495,1.6321,0.106,7.98,64.6,16,4.2594
A_depth4,9440513,5246209,24985600,4,4,4.26,70.81,1.6339,0.055,4.09,2.1,4,4.2635
Q_relative_T32,9440513,5246209,24985600,32,32,4.2623,70.974,1.6347,0.377,28.3,199.1,32,4.2673
X_exit_hi_T32,9440513,5246209,24985600,32,32,4.2632,71.034,1.6351,0.377,28.3,179.3,32,4.2682
C_adaln,9571841,5377537,24985600,16,16,4.2634,71.051,1.6352,0.193,14.46,5.7,16,4.2687
B_lr0.003_T8,9440513,5246209,24985600,8,8,4.2652,71.178,1.6358,0.101,7.55,3.2,8,4.2688
C_learned_emb,9473281,5278977,24985600,16,16,4.2663,71.259,1.6363,0.193,14.46,5.6,16,4.2712
X_exit_T16,9440513,5246209,24985600,16,16,4.2723,71.685,1.6386,0.193,14.46,93.4,16,4.2782
U_L4,9294081,6148353,24985600,1,1,4.2747,71.859,1.6395,0.02,1.51,15.6,1,4.2775
Q_edrop_T16,9440513,5246209,24985600,16,16,4.2752,71.898,1.6397,0.193,14.46,87.7,16,4.2804
U_L8,9221953,6862657,24985600,1,1,4.2805,72.278,1.6417,0.021,1.56,15.7,1,4.284
K_curriculum_drope,9440513,5246209,24985600,32,32,4.2826,72.428,1.6425,0.377,28.3,133.2,32,4.2865
A_depth32,9440513,5246209,24985600,32,32,4.288,72.819,1.6446,0.377,28.3,10.3,32,4.2923
B_lr0.001_T8,9440513,5246209,24985600,8,8,4.2902,72.978,1.6454,0.101,7.55,3.2,8,4.294
G_init_zeros,9440513,5246209,24985600,16,16,4.2993,73.646,1.6489,0.193,14.46,95.3,16,4.3041
B_lr0.001_T32,9440513,5246209,24985600,32,32,4.2999,73.696,1.6492,0.377,28.3,10.1,32,4.3049
Q_edrop_T32,9440513,5246209,24985600,32,32,4.3082,74.304,1.6523,0.377,28.3,184.3,32,4.3136
B_lr0.002_T32,9440513,5246209,24985600,32,32,4.3119,74.581,1.6538,0.377,28.3,10.1,32,4.316
H_coda,9440513,5246209,24985600,16,16,4.3193,75.137,1.6566,0.106,7.98,63.3,16,4.3263
G_inject_none,9440512,5246208,24985600,16,16,4.3205,75.226,1.6571,0.193,14.46,90.7,16,4.3257
U_L16,9194017,7490081,24985600,1,1,4.3253,75.588,1.6589,0.022,1.63,20.4,1,4.3283
U_L12,9438433,7472353,24985600,1,1,4.3599,78.249,1.6722,0.022,1.63,23.9,1,4.3647
A_depth2,9440513,5246209,24985600,2,2,4.3709,79.113,1.6764,0.031,2.36,1.5,2,4.377
G_init_randn,9440513,5246209,24985600,16,16,4.373,79.28,1.6772,0.193,14.46,109.4,16,4.379
U_L24,9393825,7952033,24985600,1,1,4.3817,79.975,1.6805,0.023,1.73,29.3,1,4.3863
B_lr0.003_T32,9440513,5246209,24985600,32,32,4.3862,80.331,1.6822,0.377,28.3,10.1,32,4.392
I_deepsup_all,9440513,5246209,24985600,16,16,4.405,81.863,1.6895,0.193,14.46,114.6,16,4.4115
K_curriculum_T32,9440513,5246209,24985600,32,32,4.425,83.515,1.6971,0.377,28.3,126.4,32,4.4314
A_depth48,9440513,5246209,24985600,48,48,4.4554,86.092,1.7088,0.562,42.13,14.9,64,4.4912
A_depth1,9440513,5246209,24985600,1,1,4.5095,90.874,1.7295,0.02,1.49,3.1,1,4.519
I_deepsup_k2,9440513,5246209,24985600,16,16,4.5227,92.086,1.7346,0.193,14.46,99.8,16,4.5315
B_initscale_T32,9440513,5246209,24985600,32,32,4.5803,97.539,1.7567,0.377,28.3,10.1,32,4.588
B_lr0.0005_T32,9440513,5246209,24985600,32,32,4.5812,97.63,1.757,0.377,28.3,10.1,32,4.591
A_depth64,9440513,5246209,24985600,64,64,4.6046,99.945,1.766,0.747,55.96,19.7,64,4.6142
B_lr0.0005_T8,9440513,5246209,24985600,8,8,4.6221,101.709,1.7727,0.101,7.55,3.2,8,4.6318
I_deepsup_kl,9440513,5246209,24985600,16,16,4.7637,117.179,1.827,0.193,14.46,101.2,8,4.7735
B_lrscale_T32,9440513,5246209,24985600,32,32,4.8681,130.08,1.8671,0.377,28.3,10.1,32,4.8779
I_deepsup_kl_strong,9440513,5246209,24985600,16,16,7.2901,1465.658,2.796,0.193,14.46,96.5,4,7.2802
